YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,8,18,12,8,2
2026/01/07,12,4,3,0,0,0,4,6,9,0,9,2,37,13,5,5,6,20,7,12,13,5,6,6
2026/01/08,0,3,0,0,0,2,4,7,1,4,2,1,5,4,2,4,5,0,5,10,6,3,1,1
2026/01/09,1,0,0,1,0,2,0,1,0,2,3,3,8,5,7,3,1,2,4,6,4,4,3,6
2026/01/10,2,1,0,0,0,12,3,7,15,6,4,6,19,8,10,14,9,5,16,18,6,8,4,6
2026/01/11,2,1,2,1,1,2,0,3,2,1,0,3,1,1,2,1,4,4,8,5,8,11,14,251
2026/01/12,10,3,3,1,2,2,3,5,11,11,5,5,16,8,2,7,13,7,10,9,7,9,4,6
2026/01/13,4,5,1,1,0,1,2,2,2,4,2,4,4,3,1,2,1,0,0,0,0,0,0,0
