YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,11
2026/01/07,11,6,4,5,1,10,7,5,5,3,2,4,6,6,4,1,3,8,7,8,2,6,8,2
2026/01/08,5,6,2,5,6,3,0,1,1,1,7,2,45,55,23,13,17,39,27,43,37,33,21,18
2026/01/09,18,10,7,3,0,1,2,7,7,2,7,4,5,3,4,8,3,7,229,88,38,30,23,15
2026/01/10,14,11,8,9,2,2,5,2,8,2,3,4,9,5,6,8,8,1,4,6,6,11,16,8
2026/01/11,5,4,4,3,1,1,5,2,4,3,1,3,9,3,7,18,19,15,38,43,39,29,12,34
2026/01/12,15,7,2,5,3,2,4,3,4,5,7,8,5,5,5,9,2,2,6,5,4,9,6,2
2026/01/13,28,6,2,1,0,3,12,15,14,10,15,12,18,14,3,6,3,7,5,5,12,0,0,0
