YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,86,145,190,208,178,225,277,296,211,147,122,68,44,36,44,90,120,122,102,63,54,487,388,234
2026/01/08,150,170,195,337,580,408,286,235,195,240,243,90,37,57,100,208,432,364,203,194,155,1517,635,350
2026/01/09,241,270,241,283,332,329,326,266,201,258,204,120,79,47,70,91,221,168,97,126,141,392,242,247
2026/01/10,234,177,227,965,963,542,380,341,277,197,124,102,57,32,71,102,87,110,106,265,153,160,144,146
2026/01/11,135,120,186,220,192,160,186,228,463,319,163,71,55,63,58,95,118,144,131,116,101,417,241,282
2026/01/12,206,676,617,577,644,381,929,440,400,410,226,100,72,56,64,100,158,345,574,525,645,603,553,453
2026/01/13,461,427,498,454,388,434,442,570,304,250,87,70,66,63,58,92,127,140,99,158,161,350,166,161
2026/01/14,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
